Date,Open,High,Low,Close,Adj Close,Volume
2024-03-19,11542.099609375,11679.9501953125,11456.150390625,11597.0498046875,11488.5361328125,409259
2024-03-20,11651.150390625,12025.0,11651.150390625,11941.150390625,11829.4169921875,1031037
2024-03-21,11999.0,12000.0,11825.349609375,11908.150390625,11796.7265625,544311
2024-03-22,11890.0498046875,12427.2998046875,11890.0498046875,12337.7001953125,12222.2568359375,1062263
2024-03-26,12285.5498046875,12321.900390625,12141.2001953125,12250.5498046875,12135.921875,507568
2024-03-27,12290.0,12722.7001953125,12285.7001953125,12510.349609375,12393.291015625,878986
2024-03-28,12569.9501953125,12726.7998046875,12385.5,12600.349609375,12482.4482421875,860324
2024-04-01,12613.349609375,12689.0,12506.150390625,12569.599609375,12451.986328125,314676
2024-04-02,12624.9501953125,12648.0,12462.25,12552.4501953125,12434.9970703125,333508
2024-04-03,12450.0,12525.5,12412.5498046875,12427.849609375,12311.5625,271935
2024-04-04,12490.0,12649.0,12318.0498046875,12567.25,12449.658203125,491166
2024-04-05,12492.0,12557.900390625,12384.5,12421.599609375,12305.37109375,231600
2024-04-08,12450.0,12927.650390625,12450.0,12865.099609375,12744.720703125,570422
2024-04-09,12865.099609375,12985.7001953125,12780.0,12888.0,12767.4072265625,314466
2024-04-10,12933.0,12958.0,12600.900390625,12682.75,12564.078125,464239
2024-04-12,12660.0,12660.0,12225.0,12266.5498046875,12151.7724609375,973366
2024-04-15,12199.5,12510.0,12032.9501953125,12422.849609375,12306.609375,831257
2024-04-16,12308.0,12549.900390625,12275.349609375,12502.7001953125,12385.712890625,579183
2024-04-18,12570.0,12602.0,12320.0498046875,12405.0,12288.9267578125,679117
2024-04-19,12399.900390625,12759.400390625,12225.0,12710.9501953125,12592.013671875,635535
2024-04-22,12783.150390625,12879.150390625,12659.0,12785.5,12665.8662109375,342212
2024-04-23,12845.0,13024.5,12776.2998046875,12996.25,12874.64453125,397281
2024-04-24,13000.0,13073.9501953125,12900.0,12944.0498046875,12822.9326171875,296364
2024-04-25,12964.0,12980.7001953125,12740.349609375,12922.5,12801.5849609375,640725
2024-04-26,12922.0,13045.0,12660.0,12703.349609375,12584.484375,704626
2024-04-29,12800.0498046875,12994.7998046875,12603.0,12689.849609375,12571.111328125,613937
2024-04-30,12786.0,12996.0,12740.2001953125,12817.5,12697.5673828125,528776
2024-05-02,12750.0,12844.150390625,12514.7998046875,12805.349609375,12685.5302734375,814923
